TIME,SST,SSS,time
1870-01-27 00:00:00,293.01382,33.399418,1870
1870-02-24 00:00:00,292.50577,33.32709,1870.083333
1870-03-27 00:00:00,292.2224,33.33751,1870.166667
1870-04-26 00:00:00,292.97916,33.38474,1870.25
1870-05-27 00:00:00,293.7848,33.405922,1870.333333
1870-06-26 00:00:00,295.95822,33.49114,1870.416667
1870-07-27 00:00:00,298.2248,33.5523,1870.5
1870-08-27 00:00:00,299.80048,33.611973,1870.583333
1870-09-26 00:00:00,299.83353,33.659756,1870.666667
1870-10-27 00:00:00,298.5248,33.657852,1870.75
1870-11-26 00:00:00,297.30176,33.64312,1870.833333
1870-12-27 00:00:00,294.91217,33.554676,1870.916667
1871-01-27 00:00:00,293.789,33.40993,1871
1871-02-24 00:00:00,293.08453,33.352863,1871.083333
1871-03-27 00:00:00,293.0546,33.35118,1871.166667
1871-04-26 00:00:00,293.66785,33.393024,1871.25
1871-05-27 00:00:00,295.34457,33.43679,1871.333333
1871-06-26 00:00:00,297.16055,33.460854,1871.416667
1871-07-27 00:00:00,299.08105,33.554977,1871.5
1871-08-27 00:00:00,300.00882,33.71006,1871.583333
1871-09-26 00:00:00,300.12402,33.771862,1871.666667
1871-10-27 00:00:00,298.20178,33.7999,1871.75
1871-11-26 00:00:00,296.0935,33.694733,1871.833333
1871-12-27 00:00:00,294.69415,33.4668,1871.916667
1872-01-27 00:00:00,293.45425,33.19505,1872
1872-02-24 00:00:00,292.924,33.0815,1872.083333
1872-03-26 00:00:00,292.76477,33.155277,1872.166667
1872-04-25 00:00:00,293.10507,33.209465,1872.25
1872-05-26 00:00:00,294.29916,33.369503,1872.333333
1872-06-25 00:00:00,296.27063,33.618893,1872.416667
1872-07-26 00:00:00,298.36368,33.768288,1872.5
1872-08-26 00:00:00,299.81314,33.846836,1872.583333
1872-09-25 00:00:00,300.0935,33.885017,1872.666667
1872-10-26 00:00:00,298.5367,33.87322,1872.75
1872-11-25 00:00:00,296.64636,33.789646,1872.833333
1872-12-26 00:00:00,294.84946,33.262203,1872.916667
1873-01-26 00:00:00,293.6223,32.453487,1873
1873-02-23 00:00:00,293.09494,32.348022,1873.083333
1873-03-26 00:00:00,292.95645,32.84354,1873.166667
1873-04-25 00:00:00,293.416,33.126465,1873.25
1873-05-26 00:00:00,294.2642,33.272995,1873.333333
1873-06-25 00:00:00,296.07257,33.409294,1873.416667
1873-07-26 00:00:00,298.24274,33.59808,1873.5
1873-08-26 00:00:00,299.55005,33.73029,1873.583333
1873-09-25 00:00:00,300.0051,33.80876,1873.666667
1873-10-26 00:00:00,298.07324,33.798214,1873.75
1873-11-25 00:00:00,295.9179,33.646942,1873.833333
1873-12-26 00:00:00,294.29184,33.129425,1873.916667
1874-01-26 00:00:00,293.1578,32.576557,1874
1874-02-23 00:00:00,292.64764,32.52093,1874.083333
1874-03-26 00:00:00,292.7179,32.8389,1874.166667
1874-04-25 00:00:00,292.65524,33.08278,1874.25
1874-05-26 00:00:00,293.77432,33.210865,1874.333333
1874-06-25 00:00:00,296.36078,33.39869,1874.416667
1874-07-26 00:00:00,298.77695,33.592834,1874.5
1874-08-26 00:00:00,299.4607,33.665604,1874.583333
1874-09-25 00:00:00,299.80737,33.727715,1874.666667
1874-10-26 00:00:00,298.4472,33.718494,1874.75
1874-11-25 00:00:00,296.4929,33.6712,1874.833333
1874-12-26 00:00:00,294.5361,33.53683,1874.916667
1875-01-26 00:00:00,293.4265,33.438923,1875
1875-02-23 00:00:00,293.3923,33.362907,1875.083333
1875-03-26 00:00:00,293.09738,33.36406,1875.166667
1875-04-25 00:00:00,292.77676,33.37534,1875.25
1875-05-26 00:00:00,294.44855,33.43431,1875.333333
1875-06-25 00:00:00,296.38458,33.515656,1875.416667
1875-07-26 00:00:00,298.4066,33.597637,1875.5
1875-08-26 00:00:00,299.30707,33.680748,1875.583333
1875-09-25 00:00:00,299.83807,33.69596,1875.666667
1875-10-26 00:00:00,298.24158,33.687813,1875.75
1875-11-25 00:00:00,295.92297,33.500885,1875.833333
1875-12-26 00:00:00,294.26953,33.203922,1875.916667
1876-01-26 00:00:00,293.5301,32.944973,1876
1876-02-23 00:00:00,292.54205,32.917095,1876.083333
1876-03-25 00:00:00,292.56696,33.046844,1876.166667
1876-04-24 00:00:00,293.14114,33.238693,1876.25
1876-05-25 00:00:00,293.88223,33.35959,1876.333333
1876-06-24 00:00:00,295.8811,33.490532,1876.416667
1876-07-25 00:00:00,298.0115,33.633675,1876.5
1876-08-25 00:00:00,299.41708,33.710217,1876.583333
1876-09-24 00:00:00,299.80664,33.745693,1876.666667
1876-10-25 00:00:00,298.4795,33.7637,1876.75
1876-11-24 00:00:00,296.38467,33.66848,1876.833333
1876-12-25 00:00:00,294.65842,33.385498,1876.916667
1877-01-25 00:00:00,293.20477,33.097313,1877
1877-02-22 00:00:00,293.0109,33.02667,1877.083333
1877-03-25 00:00:00,292.93665,33.102856,1877.166667
1877-04-24 00:00:00,293.032,33.159042,1877.25
1877-05-25 00:00:00,294.287,33.26968,1877.333333
1877-06-24 00:00:00,296.71417,33.44762,1877.416667
1877-07-25 00:00:00,298.70764,33.5873,1877.5
1877-08-25 00:00:00,299.74295,33.692093,1877.583333
1877-09-24 00:00:00,299.62216,33.71314,1877.666667
1877-10-25 00:00:00,298.62616,33.73732,1877.75
1877-11-24 00:00:00,296.73322,33.582245,1877.833333
1877-12-25 00:00:00,294.85248,33.093655,1877.916667
1878-01-25 00:00:00,293.75098,32.44135,1878
1878-02-22 00:00:00,293.41205,32.669006,1878.083333
1878-03-25 00:00:00,293.092,32.832527,1878.166667
1878-04-24 00:00:00,293.48227,33.05302,1878.25
1878-05-25 00:00:00,294.7572,33.279274,1878.333333
1878-06-24 00:00:00,296.96515,33.43889,1878.416667
1878-07-25 00:00:00,298.85114,33.58653,1878.5
1878-08-25 00:00:00,300.10654,33.68486,1878.583333
1878-09-24 00:00:00,299.90878,33.723824,1878.666667
1878-10-25 00:00:00,298.65195,33.72466,1878.75
1878-11-24 00:00:00,297.15887,33.704082,1878.833333
1878-12-25 00:00:00,295.4585,33.661022,1878.916667
1879-01-25 00:00:00,294.00116,33.5636,1879
1879-02-22 00:00:00,293.3466,33.46868,1879.083333
1879-03-25 00:00:00,293.35403,33.411766,1879.166667
1879-04-24 00:00:00,293.5168,33.39872,1879.25
1879-05-25 00:00:00,294.46274,33.44761,1879.333333
1879-06-24 00:00:00,296.2201,33.498463,1879.416667
1879-07-25 00:00:00,298.4442,33.600605,1879.5
1879-08-25 00:00:00,299.88544,33.682186,1879.583333
1879-09-24 00:00:00,300.03094,33.69803,1879.666667
1879-10-25 00:00:00,298.0344,33.721775,1879.75
1879-11-24 00:00:00,296.16473,33.62775,1879.833333
1879-12-25 00:00:00,293.97736,33.444283,1879.916667
1880-01-25 00:00:00,293.09293,33.019325,1880
1880-02-22 00:00:00,292.46082,32.876007,1880.083333
1880-03-24 00:00:00,292.31717,32.99484,1880.166667
1880-04-23 00:00:00,292.6444,33.07255,1880.25
1880-05-24 00:00:00,294.6162,33.278748,1880.333333
1880-06-23 00:00:00,296.58508,33.54454,1880.416667
1880-07-24 00:00:00,298.87506,33.661285,1880.5
1880-08-24 00:00:00,299.64853,33.71627,1880.583333
1880-09-23 00:00:00,299.67133,33.74375,1880.666667
1880-10-24 00:00:00,298.21405,33.724953,1880.75
1880-11-23 00:00:00,295.78757,33.44672,1880.833333
1880-12-24 00:00:00,294.0345,33.262623,1880.916667
1881-01-24 00:00:00,292.6274,33.102474,1881
1881-02-21 00:00:00,291.98816,33.08574,1881.083333
1881-03-24 00:00:00,291.94183,33.117943,1881.166667
1881-04-23 00:00:00,292.1916,33.221325,1881.25
1881-05-24 00:00:00,293.15033,33.298203,1881.333333
1881-06-23 00:00:00,296.11038,33.460182,1881.416667
1881-07-24 00:00:00,297.91324,33.60065,1881.5
1881-08-24 00:00:00,299.1428,33.660892,1881.583333
1881-09-23 00:00:00,299.44275,33.700127,1881.666667
1881-10-24 00:00:00,298.6864,33.674442,1881.75
1881-11-23 00:00:00,296.3853,33.555397,1881.833333
1881-12-24 00:00:00,294.03723,33.22587,1881.916667
1882-01-24 00:00:00,292.7322,33.06664,1882
1882-02-21 00:00:00,291.95218,33.01837,1882.083333
1882-03-24 00:00:00,291.77875,33.254356,1882.166667
1882-04-23 00:00:00,292.2766,33.363144,1882.25
1882-05-24 00:00:00,293.57043,33.405624,1882.333333
1882-06-23 00:00:00,295.8649,33.526516,1882.416667
1882-07-24 00:00:00,298.0663,33.666862,1882.5
1882-08-24 00:00:00,299.49512,33.747986,1882.583333
1882-09-23 00:00:00,299.10986,33.770943,1882.666667
1882-10-24 00:00:00,297.91434,33.790836,1882.75
1882-11-23 00:00:00,296.28238,33.760914,1882.833333
1882-12-24 00:00:00,294.528,33.57973,1882.916667
1883-01-24 00:00:00,293.36404,33.47406,1883
1883-02-21 00:00:00,293.26648,33.442234,1883.083333
1883-03-24 00:00:00,292.97253,33.465057,1883.166667
1883-04-23 00:00:00,293.16132,33.51895,1883.25
1883-05-24 00:00:00,294.17096,33.556843,1883.333333
1883-06-23 00:00:00,296.62476,33.607964,1883.416667
1883-07-24 00:00:00,298.62177,33.729538,1883.5
1883-08-24 00:00:00,299.90756,33.759304,1883.583333
1883-09-23 00:00:00,300.04654,33.754635,1883.666667
1883-10-24 00:00:00,298.43436,33.74231,1883.75
1883-11-23 00:00:00,296.70724,33.650116,1883.833333
1883-12-24 00:00:00,294.72195,33.59409,1883.916667
1884-01-24 00:00:00,293.551,33.346268,1884
1884-02-21 00:00:00,292.77637,33.247948,1884.083333
1884-03-23 00:00:00,292.7826,33.175747,1884.166667
1884-04-22 00:00:00,292.5356,33.258224,1884.25
1884-05-23 00:00:00,293.77295,33.35365,1884.333333
1884-06-22 00:00:00,295.82278,33.478874,1884.416667
1884-07-23 00:00:00,297.752,33.639374,1884.5
1884-08-23 00:00:00,298.84525,33.7114,1884.583333
1884-09-22 00:00:00,298.67612,33.718285,1884.666667
1884-10-23 00:00:00,297.61145,33.665718,1884.75
1884-11-22 00:00:00,295.05402,33.470062,1884.833333
1884-12-23 00:00:00,293.51645,32.88206,1884.916667
1885-01-23 00:00:00,292.2138,32.02912,1885
1885-02-20 00:00:00,291.90817,32.092014,1885.083333
1885-03-23 00:00:00,291.78577,32.640858,1885.166667
1885-04-22 00:00:00,292.1975,32.966793,1885.25
1885-05-23 00:00:00,294.3001,33.13031,1885.333333
1885-06-22 00:00:00,296.72485,33.24372,1885.416667
1885-07-23 00:00:00,298.5896,33.3878,1885.5
1885-08-23 00:00:00,299.65347,33.526028,1885.583333
1885-09-22 00:00:00,299.5547,33.65173,1885.666667
1885-10-23 00:00:00,297.62784,33.667496,1885.75
1885-11-22 00:00:00,295.44504,33.557335,1885.833333
1885-12-23 00:00:00,293.7884,33.386387,1885.916667
1886-01-23 00:00:00,292.54688,33.131634,1886
1886-02-20 00:00:00,291.90256,33.19557,1886.083333
1886-03-23 00:00:00,291.79907,33.176655,1886.166667
1886-04-22 00:00:00,292.1026,33.277935,1886.25
1886-05-23 00:00:00,293.95187,33.327755,1886.333333
1886-06-22 00:00:00,296.57404,33.40643,1886.416667
1886-07-23 00:00:00,298.1548,33.47625,1886.5
1886-08-23 00:00:00,299.34055,33.63503,1886.583333
1886-09-22 00:00:00,299.56238,33.716698,1886.666667
1886-10-23 00:00:00,297.94977,33.73682,1886.75
1886-11-22 00:00:00,295.52847,33.70978,1886.833333
1886-12-23 00:00:00,293.67902,33.58199,1886.916667
1887-01-23 00:00:00,292.64972,33.435993,1887
1887-02-20 00:00:00,292.40997,33.336987,1887.083333
1887-03-23 00:00:00,292.1918,33.339897,1887.166667
1887-04-22 00:00:00,292.5455,33.41708,1887.25
1887-05-23 00:00:00,294.10385,33.474243,1887.333333
1887-06-22 00:00:00,296.64084,33.559402,1887.416667
1887-07-23 00:00:00,298.08972,33.669693,1887.5
1887-08-23 00:00:00,299.15787,33.754105,1887.583333
1887-09-22 00:00:00,299.15164,33.790245,1887.666667
1887-10-23 00:00:00,298.1516,33.801407,1887.75
1887-11-22 00:00:00,296.4113,33.73775,1887.833333
1887-12-23 00:00:00,294.48322,33.42105,1887.916667
1888-01-23 00:00:00,292.9892,32.883694,1888
1888-02-20 00:00:00,292.78275,32.82721,1888.083333
1888-03-22 00:00:00,292.98083,32.87379,1888.166667
1888-04-21 00:00:00,292.72894,33.012264,1888.25
1888-05-22 00:00:00,293.89664,33.155163,1888.333333
1888-06-21 00:00:00,296.53116,33.370262,1888.416667
1888-07-22 00:00:00,298.59103,33.572357,1888.5
1888-08-22 00:00:00,299.97485,33.669506,1888.583333
1888-09-21 00:00:00,299.55798,33.74661,1888.666667
1888-10-22 00:00:00,298.50577,33.707222,1888.75
1888-11-21 00:00:00,296.76324,33.639275,1888.833333
1888-12-22 00:00:00,294.87103,33.427773,1888.916667
1889-01-22 00:00:00,293.56995,33.014072,1889
1889-02-19 00:00:00,292.8213,32.99582,1889.083333
1889-03-22 00:00:00,292.64246,32.974125,1889.166667
1889-04-21 00:00:00,292.96216,32.983063,1889.25
1889-05-22 00:00:00,293.6874,33.191082,1889.333333
1889-06-21 00:00:00,296.34433,33.412518,1889.416667
1889-07-22 00:00:00,298.36826,33.651817,1889.5
1889-08-22 00:00:00,299.55228,33.718204,1889.583333
1889-09-21 00:00:00,299.37576,33.739613,1889.666667
1889-10-22 00:00:00,298.19577,33.70899,1889.75
1889-11-21 00:00:00,296.02313,33.516552,1889.833333
1889-12-22 00:00:00,293.31378,33.08082,1889.916667
1890-01-22 00:00:00,292.7895,32.462677,1890
1890-02-19 00:00:00,292.36777,32.542202,1890.083333
1890-03-22 00:00:00,292.38763,32.726036,1890.166667
1890-04-21 00:00:00,292.54688,32.947937,1890.25
1890-05-22 00:00:00,293.85983,33.251976,1890.333333
1890-06-21 00:00:00,295.82675,33.512554,1890.416667
1890-07-22 00:00:00,298.12698,33.685566,1890.5
1890-08-22 00:00:00,299.21924,33.74509,1890.583333
1890-09-21 00:00:00,299.31888,33.77971,1890.666667
1890-10-22 00:00:00,298.39215,33.744255,1890.75
1890-11-21 00:00:00,296.34692,33.60801,1890.833333
1890-12-22 00:00:00,294.4314,33.34802,1890.916667
1891-01-22 00:00:00,293.07343,33.17376,1891
1891-02-19 00:00:00,292.6551,33.250355,1891.083333
1891-03-22 00:00:00,292.21017,33.296932,1891.166667
1891-04-21 00:00:00,292.52966,33.354805,1891.25
1891-05-22 00:00:00,293.7483,33.406902,1891.333333
1891-06-21 00:00:00,295.96057,33.53199,1891.416667
1891-07-22 00:00:00,298.13443,33.637695,1891.5
1891-08-22 00:00:00,299.76218,33.673534,1891.583333
1891-09-21 00:00:00,299.92587,33.67499,1891.666667
1891-10-22 00:00:00,298.04654,33.679813,1891.75
