record,resolution,duration,archive,lat,lon,infMat,var,interp,season,start_year,end_year,site,pub
CO00DRBE,2.782608696,64,Coral,32.3,-64.7,surface seawater,d18O,Temperature,annual,1856,1920,"Northeast Breakers, Bermuda","Draschba, S., Paetzold, J. and Wefer, G.: North Atlantic climate variability since AD 1350 recorded in d 18 O and skeletal density of Bermuda corals, International Journal of Earth Sciences, 88(4), 733–741, doi:10.1007/s005310050301, 2000."
CO08ABSU,0.083285629,139.67,Coral,-0.13,98.52,surface seawater,d18O,Temperature,subannual,1858.29,1997.96,"Mantawai Islands, West Sumatra, Indonesia","Abram, N. J., Gagan, M. K., Cole, J. E., Hantoro, W. S. and Mudelsee, M.: Recent intensification of tropical climate variability in the Indian Ocean, Nature Geoscience, 1(12), 849–853, doi:10.1038/ngeo357, 2008."
CO03CHBU,0.083278061,130.58,Coral,-1.5,124.833,surface seawater,d18O,EffectiveMoisture,subannual,1860,1990.58,Bunaken Island,"Charles, C. D., Cobb, K., Moore, M. D. and Fairbanks, R. G.: Monsoon–tropical ocean interaction in a network of coral records spanning the 20th century, Marine Geology, 201(1-3), 207–222, doi:10.1016/s0025-3227(03)00217-2, 2003."
CO06QUNG,0.083275752,130.16,Coral,-4.1916,151.9772,surface seawater,d18O,Temperature,subannual,1867.38,1997.54,Rabaul,"Quinn, T. M., Taylor, F. W. and Crowley, T. J.: Coral-based climate variability in the Western Pacific Warm Pool since 1867, Journal of Geophysical Research, 111(C11), doi:10.1029/2005jc003243, 2006."
CO14WUCL,0.083293051,82.71,Coral,10.3,-109.22,surface seawater,d18O,Temperature,subannual,1874.08,1956.79,Clipperton Atoll,"Wu, H. C., Moreau, M., Linsley, B. K., Schrag, D. P. and Correge, T.: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll) since 1874, Palaeogeography, Palaeoclimatology, Palaeoecology, 412, 208–222, doi:10.1016/j.palaeo.2014.07.039, 2014."
CO00KUNI,0.166436782,115.84,Coral,-21.905,113.965,surface seawater,d18O,Temperature,subannual,1879.08,1994.92,"Ningaloo Reef, West Australia","Kuhnert, H., Paetzold, J., Wyrwoll, K.-H. and Wefer, G.: Monitoring climate variability over the past 116 years in coral oxygen isotopes from Ningaloo Reef, Western Australia, International Journal of Earth Sciences, 88(4), 725–732, doi:10.1007/s005310050300, 2000."
CO01TUNG,0.249444444,112.25,Coral,-5.217,145.817,surface seawater,d18O,Temperature,subannual,1880.792,1993.042,"Deplik Tabat Reef, Madang Lagoon","Tudhope, A. W.: Variability in the El Nino-Southern Oscillation Through a Glacial-Interglacial Cycle, Science, 291(5508), 1511–1517, doi:10.1126/science.1057969, 2001."
CO14ZIMG,0.991150442,112,Coral,-23.3572,43.6195,surface seawater,d18O,Temperature,annual,1882,1994,"Tulear Reef, SW Madagascar","Zinke, J., Loveday, B. R., Reason, C. J. C., Dullo, W.-C. and Kroon, D.: Madagascar corals track sea surface temperature variability in the Agulhas Current core region over the past 334 years, Scientific Reports, 4(1), doi:10.1038/srep04393, 2014."
CO18DATO01A,0.139119839,121.3125,Coral,-20.2792,-174.6423,surface seawater,d18O,Temperature,subannual,1883.583333,2004.895833,Fonoifua Island,"Dassie, E. P., Hasson, A., Khodri, M., Lebas, N. and Linsley, B. K.: Spatiotemporal Variability of the South Pacific Convergence Zone Fresh Pool Eastern Front from Coral-Derived Surface Salinity Data, Journal of Climate, 31(8), 3265–3288, doi:10.1175/jcli-d-17-0071.1, 2018."
CO01TUNG,0.249425287,108.5,Coral,-5.217,145.817,surface seawater,d18O,Temperature,subannual,1884.542,1993.042,"Deplik Tabat Reef, Madang Lagoon","Tudhope, A. W.: Variability in the El Nino-Southern Oscillation Through a Glacial-Interglacial Cycle, Science, 291(5508), 1511–1517, doi:10.1126/science.1057969, 2001."
CO11NUPM,0.083266518,112.16,Coral,5.87,-162.13,surface seawater,d18O,Temperature,subannual,1886.13,1998.29,Palmyra,"Nurhati, I. S., Cobb, K. M. and Di Lorenzo, E.: Decadal-Scale SST and Salinity Variations in the Central Tropical Pacific: Signatures of Natural and Anthropogenic Climate Change, Journal of Climate, 24(13), 3294–3308, doi:10.1175/2011jcli3852.1, 2011."
CO09NAKY,0.083393372,115.75,Coral,-3.2,40.1,surface seawater,d18O,Temperature,subannual,1886.96,2002.71,Malindi,"Nakamura, N., Kayanne, H., Iijima, H., McClanahan, T. R., Behera, S. K. and Yamagata, T.: Mode shift in the Indian Ocean climate under global warming stress, Geophysical Research Letters, 36(23), doi:10.1029/2009gl040590, 2009."
CO18RELC01A,0.083278036,125.5,Coral,19.7,-80.06,surface seawater,d18O,Temperature,subannual,1887.04,2012.54,Little Cayman,"Von Reumont, J., Hetzinger, S., Garbe-Schoenberg, D., Manfrino, C. and Dullo, C.: Tracking Interannual- to Multidecadal-Scale Climate Variability in the Atlantic Warm Pool Using Central Caribbean Coral Data, Paleoceanography and Paleoclimatology, 33(4), 395–411, doi:10.1002/2018pa003321, 2018."
CO99GUMI,0.24939759,103.5,Coral,-0.533,166.9283,surface seawater,d18O,Temperature,subannual,1891.75,1995.25,Nauru,"Guilderson, T. P. and Schrag, D. P.: Reliability of coral isotope records from the Western Pacific Warm Pool: A comparison using age-optimized records, Paleoceanography, 14(4), 457–464, doi:10.1029/1999pa900024, 1999."
CO99LICL,0.08326412,100.25,Coral,10.2773,-109.2131,surface seawater,d18O,Temperature,subannual,1893.79,1994.04,Clipperton Atoll,"Linsley, B. K., Messier, R. G. and Dunbar, R. B.: Assessing between-colony oxygen isotope variability in the coral Porites lobata at Clipperton Atoll, Coral Reefs, 18(1), 13–27, doi:10.1007/s003380050148, 1999."
CO93COTW,0.083261058,96,Coral,1.4167,173.0333,surface seawater,d18O,EffectiveMoisture,subannual,1894,1990,"Tarawa Atoll, Republic of Kiribati","Cole, J. E., Fairbanks, R. G. and Shen, G. T.: Recent Variability in the Southern Oscillation: Isotopic Results from a Tarawa Atoll Coral, Science, 260(5115), 1790–1793, doi:10.1126/science.260.5115.1790, 1993."
CO10HEIG,0.085829187,103.51,Coral,16.2,-61.49,surface seawater,d18O,Temperature,subannual,1895.7,1999.21,Guadeloupe,"Hetzinger, S., Pfeiffer, M., Dullo, W.-C., Garbe-Schoenberg, D. and Halfar, J.: Rapid 20th century warming in the Caribbean and impact of remote forcing on climate in the northern tropical Atlantic as recorded in a Guadeloupe coral, Palaeogeography, Palaeoclimatology, Palaeoecology, 296(1-2), 111–124, doi:10.1016/j.palaeo.2010.06.019, 2010."
CO99SWFB,0.989795918,97,Coral,24.9167,-80.75,surface seawater,d18O,EffectiveMoisture,subannual,1899,1996,"Lignumvitae Basin, Florida Bay","Swart, P. K., Healy, G., Greer, L., Lutz, M., Saied, A., Anderegg, D., Dodge, R. E. and Rudnick, D.: The Use of Proxy Chemical Records in Coral Skeletons to Ascertain Past Environmental Conditions in Florida Bay, Estuaries, 22(2), 384, doi:10.2307/1353206, 1999."
CO14OSPA,0.083269672,109,Coral,7.2859,134.2503,surface seawater,d18O,EffectiveMoisture,subannual,1899.17,2008.17,Palau,"Osborne, M. C., Dunbar, R. B., Mucciarone, D. A., Druffel, E. and Sanchez-Cabeza, J.-A.: A 215-yr coral d18O time series from Palau records dynamics of the West Pacific Warm Pool following the end of the Little Ice Age, Coral Reefs, 33(3), 719–731, doi:10.1007/s00338-014-1146-1, 2014."
CO14ZIMG,0.988888889,89,Coral,-23.3572,43.6195,surface seawater,d18O,Temperature,annual,1905,1994,"Tulear Reef, SW Madagascar","Zinke, J., Loveday, B. R., Reason, C. J. C., Dullo, W.-C. and Kroon, D.: Madagascar corals track sea surface temperature variability in the Agulhas Current core region over the past 334 years, Scientific Reports, 4(1), doi:10.1038/srep04393, 2014."
CO04MGNG,0.988636364,87,Coral,-3.6206,143.6819,surface seawater,d18O,EffectiveMoisture,annual,1910,1997,Papua New Guinea,"McGregor, H. V. and Gagan, M. K.: Western Pacific coral d18O records of anomalous Holocene variability in the El Nino-Southern Oscillation, Geophysical Research Letters, 31(11), n/a–n/a, doi:10.1029/2004gl019972, 2004."
CO17WUBO1A,0.166665888,35.6665,Coral,12.222,-68.3998,surface seawater,d18O,Temperature,subannual,1913.9167,1949.5832,Northwestern shore,"Wu, H. C., Felis, T., Scholz, D., Giry, C., Koelling, M., Jochum, K. P. and Scheffers, S. R.: Changes to Yucatan Peninsula precipitation associated with salinity and temperature extremes of the Caribbean Sea during the Maya civilization collapse, Scientific Reports, 7(1), doi:10.1038/s41598-017-15942-0, 2017."
